LDK,和室,主寝室,子供室1,子供室2,浴室,1F便所,洗面所,ホール,クローゼット,2Fホール,2F便所
[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h]
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4479.3,0,0,0,1372.34,0,0,0,0,0,0,0
5867.92,0,0,0,0,0,0,0,0,0,0,0
4031.04,0,0,2732.43,0,0,0,0,0,0,0,0
4959.85,0,0,0,3699.12,0,0,0,0,0,0,0
5685.47,0,0,2755.41,1973.85,0,0,0,0,0,0,0
6204.98,0,0,1958.16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
25243.46,0,0,0,0,0,0,0,0,0,0,0
10831.94,0,0,0,0,0,0,0,0,0,0,0
6734.28,0,0,0,0,0,0,0,0,0,0,0
2694.53,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1634.53,0,0,0,0,0,0,0,0,0,0,0
813.24,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
5119.38,0,0,0,0,0,0,0,0,0,0,0
4311.23,0,0,0,0,0,0,0,0,0,0,0
7028.69,0,0,0,4346.06,0,0,0,0,0,0,0
7495.56,0,0,0,0,0,0,0,0,0,0,0
5164.82,0,0,4820.68,0,0,0,0,0,0,0,0
5682.2,0,0,0,4516.39,0,0,0,0,0,0,0
6076.72,0,0,3292.92,2138.43,0,0,0,0,0,0,0
6402.13,0,0,2124.12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23729.43,0,0,0,0,0,0,0,0,0,0,0
10324.61,0,0,0,0,0,0,0,0,0,0,0
6196.34,0,0,0,0,0,0,0,0,0,0,0
2174.99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1432.84,0,0,0,0,0,0,0,0,0,0,0
5657.1,0,0,0,2228.37,0,0,0,0,0,0,0
6799.24,0,0,0,0,0,0,0,0,0,0,0
4711.17,0,0,3495.43,0,0,0,0,0,0,0,0
5390.61,0,0,0,4102.8,0,0,0,0,0,0,0
5834.19,0,0,2962.8,2034.8,0,0,0,0,0,0,0
6402.22,0,0,2054.65,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
25144.98,0,0,0,0,0,0,0,0,0,0,0
10841.39,0,0,0,0,0,0,0,0,0,0,0
7174.63,0,0,0,0,0,0,0,0,0,0,0
2669.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
623.06,0,0,0,0,0,0,0,0,0,0,0
5887.58,0,0,0,2024.76,0,0,0,0,0,0,0
7108.6,0,0,0,0,0,0,0,0,0,0,0
5032.36,0,0,3493.09,0,0,0,0,0,0,0,0
5884.5,0,0,0,4360.2,0,0,0,0,0,0,0
6604.92,0,0,3281.42,2319.62,0,0,0,0,0,0,0
7141.03,0,0,2306.17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23723.95,0,0,8691.28,0,0,0,0,0,0,0,0
4375.63,0,0,1919.47,6366.59,0,0,0,0,0,0,0
448.39,0,0,383.05,505.83,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1093.45,0,0,0,0,0,0,0,0,0,0,0
1146.83,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2179.48,0,0,332.6,0,0,0,0,0,0,0,0
5171.58,0,0,822.79,0,0,0,0,0,0,0,0
7087.27,0,0,1666.65,0,0,0,0,0,0,0,0
5214.36,0,0,0,0,0,0,0,0,0,0,0
6044.01,0,0,3164.82,4614.86,0,0,0,0,0,0,0
6440.71,0,0,2332.09,2319.72,0,0,0,0,0,0,0
7114.93,0,0,2075.92,2237.21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
27391.75,0,0,9832.2,0,0,0,0,0,0,0,0
5826.64,0,0,2344.69,7476.46,0,0,0,0,0,0,0
2628.81,0,0,1072.48,1280.26,0,0,0,0,0,0,0
1045.14,0,0,254.4,276.86,0,0,0,0,0,0,0
1034.88,0,0,0,0,0,0,0,0,0,0,0
2522.37,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4005.48,0,0,1351.92,0,0,0,0,0,0,0,0
5779.01,0,0,1327.92,0,0,0,0,0,0,0,0
6901.88,0,0,1787.74,0,0,0,0,0,0,0,0
4941.74,0,0,0,0,0,0,0,0,0,0,0
5466.64,0,0,2999.01,4505.31,0,0,0,0,0,0,0
5699.81,0,0,2109.02,2045.53,0,0,0,0,0,0,0
6134.58,0,0,1765.44,1873.03,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
25972.92,0,0,0,0,0,0,0,0,0,0,0
11011.05,0,0,0,0,0,0,0,0,0,0,0
8369.17,0,0,0,0,0,0,0,0,0,0,0
3971.24,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
588.09,0,0,0,0,0,0,0,0,0,0,0
1275.18,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
6101.73,0,0,0,0,0,0,0,0,0,0,0
4283.12,0,0,0,0,0,0,0,0,0,0,0
6852.65,0,0,0,4439.6,0,0,0,0,0,0,0
7402.11,0,0,0,0,0,0,0,0,0,0,0
5095.87,0,0,4844.21,0,0,0,0,0,0,0,0
5728.79,0,0,0,4488.92,0,0,0,0,0,0,0
6118.68,0,0,3298.26,2132.19,0,0,0,0,0,0,0
6372.75,0,0,2099.48,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23154.11,0,0,0,0,0,0,0,0,0,0,0
9672.96,0,0,0,0,0,0,0,0,0,0,0
8421.89,0,0,0,0,0,0,0,0,0,0,0
7544.12,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14823.87,0,0,0,0,0,0,0,0,0,0,0
6830.18,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9467.02,0,0,0,0,0,0,0,0,0,0,0
6178.93,0,0,0,0,0,0,0,0,0,0,0
8382.41,0,0,0,6706.25,0,0,0,0,0,0,0
8530.76,0,0,0,0,0,0,0,0,0,0,0
6264.67,0,0,6485.72,0,0,0,0,0,0,0,0
6804.24,0,0,0,5415.81,0,0,0,0,0,0,0
7214.28,0,0,4059.57,2566.52,0,0,0,0,0,0,0
7683.86,0,0,2624.81,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
28058.19,0,0,0,0,0,0,0,0,0,0,0
12107.38,0,0,0,0,0,0,0,0,0,0,0
10502.13,0,0,0,0,0,0,0,0,0,0,0
9353.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12880.99,0,0,0,0,0,0,0,0,0,0,0
5896.35,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
10356.63,0,0,0,0,0,0,0,0,0,0,0
5535.41,0,0,0,0,0,0,0,0,0,0,0
7152.28,0,0,0,6353.31,0,0,0,0,0,0,0
7120.01,0,0,0,0,0,0,0,0,0,0,0
4959.1,0,0,5819.84,0,0,0,0,0,0,0,0
5492.72,0,0,0,4520.03,0,0,0,0,0,0,0
5873.2,0,0,3342.66,2040.33,0,0,0,0,0,0,0
6195.8,0,0,2080.97,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
20725.24,0,0,0,0,0,0,0,0,0,0,0
8486.43,0,0,0,0,0,0,0,0,0,0,0
6208.04,0,0,0,0,0,0,0,0,0,0,0
3604.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
8327.13,0,0,0,0,0,0,0,0,0,0,0
3458.51,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9005.21,0,0,0,0,0,0,0,0,0,0,0
5375.76,0,0,0,0,0,0,0,0,0,0,0
7582.48,0,0,0,5688.62,0,0,0,0,0,0,0
7773.03,0,0,0,0,0,0,0,0,0,0,0
5518.65,0,0,5635.53,0,0,0,0,0,0,0,0
6127.89,0,0,0,4840.86,0,0,0,0,0,0,0
6619.57,0,0,3632.48,2320.41,0,0,0,0,0,0,0
7059.65,0,0,2363.38,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
25284.38,0,0,0,0,0,0,0,0,0,0,0
10641.87,0,0,0,0,0,0,0,0,0,0,0
9043.47,0,0,0,0,0,0,0,0,0,0,0
7934.58,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14058.21,0,0,0,0,0,0,0,0,0,0,0
3979.03,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
5567.18,0,0,0,0,0,0,0,0,0,0,0
3054.72,0,0,0,0,0,0,0,0,0,0,0
5593.73,0,0,0,4371.67,0,0,0,0,0,0,0
5819.39,0,0,0,0,0,0,0,0,0,0,0
3975.84,0,0,4322.37,0,0,0,0,0,0,0,0
4675.26,0,0,0,3771.04,0,0,0,0,0,0,0
5198.15,0,0,2776.26,1768.59,0,0,0,0,0,0,0
5778.2,0,0,1859.96,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
22500.92,0,0,8029.11,0,0,0,0,0,0,0,0
4000.57,0,0,1713.34,5885.94,0,0,0,0,0,0,0
0,0,0,0,13.4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2418.91,0,0,0,0,0,0,0,0,0,0,0
1896.33,0,0,0,0,0,0,0,0,0,0,0
2864.58,0,0,1039.16,1672.38,0,0,0,0,0,0,0
3269.42,0,0,1100.99,1013.99,0,0,0,0,0,0,0
3907.7,0,0,907.22,1058.66,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
18325.89,0,0,6189.55,0,0,0,0,0,0,0,0
6606.58,0,0,2175.15,5779.53,0,0,0,0,0,0,0
